,Game_Count,Points_Against,Position,Team_Against,VS,Week,Year,Home_Away
0,1,7.10,WR,HOU,JAX,1,2017,Home
0,0,0.00,WR,MIA,Bye,1,2017,Home
0,0,0.00,WR,TB,Bye,1,2017,Home
0,1,41.60,WR,NYJ,OAK,2,2017,Away
0,1,33.90,WR,MIN,PIT,2,2017,Away
0,1,31.90,WR,KC,PHI,2,2017,Home
0,1,31.80,WR,IND,ARI,2,2017,Home
0,1,28.30,WR,DAL,DEN,2,2017,Away
0,1,27.10,WR,NE,NO,2,2017,Away
0,1,26.40,WR,TB,CHI,2,2017,Home
0,1,26.20,WR,ATL,GB,2,2017,Home
0,1,25.60,WR,NO,NE,2,2017,Home
0,1,25.30,WR,LAC,MIA,2,2017,Home
0,1,23.30,WR,GB,ATL,2,2017,Away
0,1,23.10,WR,TEN,JAX,2,2017,Away
0,1,21.00,WR,CHI,TB,2,2017,Away
0,1,20.90,WR,OAK,NYJ,2,2017,Home
0,1,20.30,WR,SF,SEA,2,2017,Away
0,1,18.70,WR,DEN,DAL,2,2017,Home
0,1,16.50,WR,MIA,LAC,2,2017,Away
0,1,15.80,WR,BUF,CAR,2,2017,Away
0,1,15.30,WR,HOU,CIN,2,2017,Away
0,1,14.90,WR,LAR,WAS,2,2017,Home
0,1,13.70,WR,JAX,TEN,2,2017,Home
0,1,13.70,WR,BAL,CLE,2,2017,Home
0,1,13.00,WR,PHI,KC,2,2017,Away
0,1,12.00,WR,NYG,DET,2,2017,Home
0,1,10.70,WR,WSH,LA,2,2017,Away
0,1,10.30,WR,CLE,BAL,2,2017,Away
0,1,9.80,WR,ARI,IND,2,2017,Away
0,1,9.70,WR,PIT,MIN,2,2017,Home
0,1,9.60,WR,DET,NYG,2,2017,Away
0,1,8.30,WR,CIN,HOU,2,2017,Home
0,1,6.60,WR,CAR,BUF,2,2017,Home
0,1,5.80,WR,SEA,SF,2,2017,Home
0,1,18.80,TE,CHI,ATL,1,2017,Home
0,1,16.10,TE,CLE,PIT,1,2017,Home
0,1,13.50,TE,NYJ,BUF,1,2017,Away
0,1,11.90,TE,NYG,DAL,1,2017,Away
0,1,11.90,TE,NE,KC,1,2017,Home
0,1,11.40,TE,MIN,NO,1,2017,Home
0,1,10.40,TE,WSH,PHI,1,2017,Home
0,1,9.80,TE,LAC,DEN,1,2017,Away
0,1,8.60,TE,NO,MIN,1,2017,Away
0,1,7.60,TE,OAK,TEN,1,2017,Away
0,1,7.00,TE,ATL,CHI,1,2017,Away
0,1,6.80,TE,IND,LA,1,2017,Away
0,1,6.20,TE,PIT,CLE,1,2017,Away
0,1,6.10,TE,SEA,GB,1,2017,Away
0,1,6.00,TE,JAX,HOU,1,2017,Away
0,1,5.90,TE,BUF,NYJ,1,2017,Home
0,1,5.60,TE,TEN,OAK,1,2017,Home
0,1,5.30,TE,DAL,NYG,1,2017,Home
0,1,4.10,TE,LAR,IND,1,2017,Home
0,1,3.60,TE,PHI,WAS,1,2017,Away
0,1,3.30,TE,KC,NE,1,2017,Away
0,1,2.70,TE,CAR,SF,1,2017,Away
0,1,1.90,TE,CIN,BAL,1,2017,Home
0,1,1.80,TE,HOU,JAX,1,2017,Home
0,1,1.80,TE,SF,CAR,1,2017,Home
0,1,1.80,TE,GB,SEA,1,2017,Home
0,1,1.70,TE,DEN,LAC,1,2017,Home
0,1,1.50,TE,DET,ARI,1,2017,Home
0,1,0.90,TE,BAL,CIN,1,2017,Away
0,1,0.90,TE,ARI,DET,1,2017,Away
0,0,0.00,TE,MIA,Bye,1,2017,Home
0,0,0.00,TE,TB,Bye,1,2017,Home
0,1,21.20,TE,JAX,TEN,2,2017,Home
0,1,18.10,TE,NO,NE,2,2017,Home
0,1,16.80,TE,BAL,CLE,2,2017,Home
0,1,16.80,TE,DET,NYG,2,2017,Away
0,1,16.30,TE,PHI,KC,2,2017,Away
0,1,16.10,TE,MIA,LAC,2,2017,Away
0,1,15.70,TE,DEN,DAL,2,2017,Home
0,1,13.00,TE,NE,NO,2,2017,Away
0,1,12.30,TE,CLE,BAL,2,2017,Away
0,1,10.70,TE,KC,PHI,2,2017,Home
0,1,10.50,TE,NYG,DET,2,2017,Home
0,1,10.40,TE,WSH,LA,2,2017,Away
0,1,9.90,TE,ARI,IND,2,2017,Away
0,1,8.60,TE,DAL,DEN,2,2017,Away
0,1,6.90,TE,ATL,GB,2,2017,Home
0,1,6.20,TE,IND,ARI,2,2017,Home
0,1,6.10,TE,LAR,WAS,2,2017,Home
0,1,4.50,TE,PIT,MIN,2,2017,Home
0,1,4.20,TE,TB,CHI,2,2017,Home
0,1,4.20,TE,HOU,CIN,2,2017,Away
0,1,4.10,TE,NYJ,OAK,2,2017,Away
0,1,4.10,TE,CHI,TB,2,2017,Away
0,1,3.60,TE,BUF,CAR,2,2017,Away
0,1,2.70,TE,MIN,PIT,2,2017,Away
0,1,2.60,TE,SF,SEA,2,2017,Away
0,1,2.60,TE,LAC,MIA,2,2017,Home
0,1,2.30,TE,CAR,BUF,2,2017,Home
0,1,1.90,TE,SEA,SF,2,2017,Home
0,1,1.20,TE,OAK,NYJ,2,2017,Home
0,1,0.70,TE,GB,ATL,2,2017,Away
0,1,0.00,TE,CIN,HOU,2,2017,Home
0,1,0.00,TE,TEN,JAX,2,2017,Away
0,1,18.00,K,TEN,OAK,1,2017,Home
0,1,16.00,K,IND,LA,1,2017,Away
0,1,13.00,K,MIN,NO,1,2017,Home
0,1,13.00,K,NYG,DAL,1,2017,Away
0,1,12.00,K,OAK,TEN,1,2017,Away
0,1,12.00,K,WSH,PHI,1,2017,Home
0,1,11.00,K,NO,MIN,1,2017,Away
0,1,11.00,K,CHI,ATL,1,2017,Home
0,1,11.00,K,SF,CAR,1,2017,Home
0,1,11.00,K,HOU,JAX,1,2017,Home
0,1,9.00,K,KC,NE,1,2017,Away
0,1,9.00,K,GB,SEA,1,2017,Home
0,1,8.00,K,BUF,NYJ,1,2017,Home
0,1,8.00,K,CIN,BAL,1,2017,Home
0,1,7.00,K,ARI,DET,1,2017,Away
0,1,7.00,K,ATL,CHI,1,2017,Away
0,1,6.00,K,LAC,DEN,1,2017,Away
0,1,6.00,K,NE,KC,1,2017,Home
0,1,5.00,K,PHI,WAS,1,2017,Away
0,1,5.00,K,DET,ARI,1,2017,Home
0,1,5.00,K,SEA,GB,1,2017,Away
0,1,4.00,K,PIT,CLE,1,2017,Away
0,1,3.00,K,CAR,SF,1,2017,Away
0,1,3.00,K,LAR,IND,1,2017,Home
0,1,3.00,K,NYJ,BUF,1,2017,Away
0,1,3.00,K,CLE,PIT,1,2017,Home
0,1,3.00,K,DAL,NYG,1,2017,Home
0,1,3.00,K,DEN,LAC,1,2017,Home
0,1,1.00,K,JAX,HOU,1,2017,Away
0,1,0.00,K,BAL,CIN,1,2017,Away
0,0,0.00,K,MIA,Bye,1,2017,Home
0,0,0.00,K,TB,Bye,1,2017,Home
0,1,15.00,K,LAC,MIA,2,2017,Home
0,1,14.00,K,MIN,PIT,2,2017,Away
0,1,14.00,K,GB,ATL,2,2017,Away
0,1,13.00,K,JAX,TEN,2,2017,Home
0,1,13.00,K,CHI,TB,2,2017,Away
0,1,12.00,K,NO,NE,2,2017,Home
0,1,10.00,K,IND,ARI,2,2017,Home
0,1,9.00,K,HOU,CIN,2,2017,Away
0,1,9.00,K,LAR,WAS,2,2017,Home
0,1,9.00,K,NYJ,OAK,2,2017,Away
0,1,9.00,K,PHI,KC,2,2017,Away
0,1,9.00,K,BUF,CAR,2,2017,Away
0,1,9.00,K,SEA,SF,2,2017,Home
0,1,8.00,K,NE,NO,2,2017,Away
0,1,8.00,K,NYG,DET,2,2017,Home
0,1,8.00,K,OAK,NYJ,2,2017,Home
0,1,8.00,K,WSH,LA,2,2017,Away
0,1,8.00,K,KC,PHI,2,2017,Home
0,1,7.00,K,ARI,IND,2,2017,Away
0,1,7.00,K,CIN,HOU,2,2017,Home
0,1,7.00,K,DEN,DAL,2,2017,Home
0,1,6.00,K,DAL,DEN,2,2017,Away
0,1,6.00,K,CLE,BAL,2,2017,Away
0,1,6.00,K,SF,SEA,2,2017,Away
0,1,5.00,K,ATL,GB,2,2017,Home
0,1,5.00,K,MIA,LAC,2,2017,Away
0,1,4.00,K,BAL,CLE,2,2017,Home
0,1,4.00,K,DET,NYG,2,2017,Away
0,1,4.00,K,TEN,JAX,2,2017,Away
0,1,3.00,K,CAR,BUF,2,2017,Home
0,1,3.00,K,PIT,MIN,2,2017,Home
0,1,1.00,K,TB,CHI,2,2017,Home
0,1,28.00,DEF,HOU,JAX,1,2017,Home
0,1,28.00,DEF,IND,LA,1,2017,Away
0,1,25.00,DEF,CIN,BAL,1,2017,Home
0,1,22.00,DEF,WSH,PHI,1,2017,Home
0,1,16.00,DEF,ARI,DET,1,2017,Away
0,1,16.00,DEF,CLE,PIT,1,2017,Home
0,1,15.00,DEF,SF,CAR,1,2017,Home
0,1,12.00,DEF,PHI,WAS,1,2017,Away
0,1,12.00,DEF,NYG,DAL,1,2017,Away
0,1,9.00,DEF,NYJ,BUF,1,2017,Away
0,1,9.00,DEF,SEA,GB,1,2017,Away
0,1,8.00,DEF,DEN,LAC,1,2017,Home
0,1,8.00,DEF,DET,ARI,1,2017,Home
0,1,7.00,DEF,GB,SEA,1,2017,Home
0,1,5.00,DEF,CHI,ATL,1,2017,Home
0,1,4.00,DEF,CAR,SF,1,2017,Away
0,1,4.00,DEF,BUF,NYJ,1,2017,Home
0,1,4.00,DEF,BAL,CIN,1,2017,Away
0,1,3.00,DEF,LAC,DEN,1,2017,Away
0,1,3.00,DEF,PIT,CLE,1,2017,Away
0,1,3.00,DEF,NE,KC,1,2017,Home
0,1,2.00,DEF,NO,MIN,1,2017,Away
0,1,2.00,DEF,ATL,CHI,1,2017,Away
0,1,2.00,DEF,OAK,TEN,1,2017,Away
0,1,2.00,DEF,LAR,IND,1,2017,Home
0,1,2.00,DEF,DAL,NYG,1,2017,Home
0,1,2.00,DEF,TEN,OAK,1,2017,Home
0,1,1.00,DEF,KC,NE,1,2017,Away
0,0,0.00,DEF,TB,Bye,1,2017,Home
0,1,0.00,DEF,JAX,HOU,1,2017,Away
0,0,0.00,DEF,MIA,Bye,1,2017,Home
0,1,0.00,DEF,MIN,NO,1,2017,Home
0,1,19.00,DEF,CHI,TB,2,2017,Away
0,1,17.00,DEF,NYG,DET,2,2017,Home
0,1,17.00,DEF,CLE,BAL,2,2017,Away
0,1,13.00,DEF,DAL,DEN,2,2017,Away
0,1,13.00,DEF,GB,ATL,2,2017,Away
0,1,11.00,DEF,PHI,KC,2,2017,Away
0,1,10.00,DEF,CAR,BUF,2,2017,Home
0,1,10.00,DEF,BUF,CAR,2,2017,Away
0,1,10.00,DEF,IND,ARI,2,2017,Home
0,1,9.00,DEF,CIN,HOU,2,2017,Home
0,1,9.00,DEF,NYJ,OAK,2,2017,Away
0,1,9.00,DEF,JAX,TEN,2,2017,Home
0,1,8.00,DEF,MIN,PIT,2,2017,Away
0,1,8.00,DEF,SF,SEA,2,2017,Away
0,1,7.00,DEF,ARI,IND,2,2017,Away
0,1,7.00,DEF,LAR,WAS,2,2017,Home
0,1,7.00,DEF,HOU,CIN,2,2017,Away
0,1,7.00,DEF,SEA,SF,2,2017,Home
0,1,6.00,DEF,BAL,CLE,2,2017,Home
0,1,5.00,DEF,DET,NYG,2,2017,Away
0,1,4.00,DEF,TB,CHI,2,2017,Home
0,1,4.00,DEF,KC,PHI,2,2017,Home
0,1,3.00,DEF,MIA,LAC,2,2017,Away
0,1,2.00,DEF,LAC,MIA,2,2017,Home
0,1,2.00,DEF,PIT,MIN,2,2017,Home
0,1,2.00,DEF,NO,NE,2,2017,Home
0,1,2.00,DEF,ATL,GB,2,2017,Home
0,1,2.00,DEF,DEN,DAL,2,2017,Home
0,1,2.00,DEF,WSH,LA,2,2017,Away
0,1,-1.00,DEF,TEN,JAX,2,2017,Away
0,1,-2.00,DEF,NE,NO,2,2017,Away
0,1,-4.00,DEF,OAK,NYJ,2,2017,Home
